starttime	seconds	ctime	dtime	ttime	wait
Fri Dec 06 22:40:24 2024	1733524824	0	10	10	10
Fri Dec 06 22:40:24 2024	1733524824	1	10	10	10
Fri Dec 06 22:40:24 2024	1733524824	0	10	10	8
Fri Dec 06 22:40:24 2024	1733524824	2	8	10	8
Fri Dec 06 22:40:24 2024	1733524824	2	8	10	8
Fri Dec 06 22:40:24 2024	1733524824	2	8	10	8
Fri Dec 06 22:40:24 2024	1733524824	2	8	10	8
Fri Dec 06 22:40:24 2024	1733524824	2	8	10	8
Fri Dec 06 22:40:24 2024	1733524824	2	8	10	8
Fri Dec 06 22:40:24 2024	1733524824	2	8	10	8
Fri Dec 06 22:40:24 2024	1733524824	1	10	10	10
Fri Dec 06 22:40:24 2024	1733524824	1	10	10	10
Fri Dec 06 22:40:24 2024	1733524824	0	10	10	10
Fri Dec 06 22:40:24 2024	1733524824	0	10	10	10
Fri Dec 06 22:40:24 2024	1733524824	1	10	10	10
Fri Dec 06 22:40:24 2024	1733524824	0	10	11	8
Fri Dec 06 22:40:24 2024	1733524824	1	10	11	10
Fri Dec 06 22:40:24 2024	1733524824	0	11	11	11
Fri Dec 06 22:40:24 2024	1733524824	0	10	11	10
Fri Dec 06 22:40:24 2024	1733524824	0	11	11	11
Fri Dec 06 22:40:24 2024	1733524824	2	9	11	9
Fri Dec 06 22:40:24 2024	1733524824	2	9	11	9
Fri Dec 06 22:40:24 2024	1733524824	2	9	11	9
Fri Dec 06 22:40:24 2024	1733524824	2	9	11	9
Fri Dec 06 22:40:24 2024	1733524824	2	9	11	9
Fri Dec 06 22:40:24 2024	1733524824	2	9	11	9
Fri Dec 06 22:40:24 2024	1733524824	2	9	11	9
Fri Dec 06 22:40:24 2024	1733524824	2	9	11	9
Fri Dec 06 22:40:24 2024	1733524824	2	9	11	9
Fri Dec 06 22:40:24 2024	1733524824	2	9	11	9
Fri Dec 06 22:40:24 2024	1733524824	2	9	11	9
Fri Dec 06 22:40:24 2024	1733524824	2	9	11	9
Fri Dec 06 22:40:24 2024	1733524824	2	9	11	9
Fri Dec 06 22:40:24 2024	1733524824	2	9	11	9
Fri Dec 06 22:40:24 2024	1733524824	2	9	11	9
Fri Dec 06 22:40:24 2024	1733524824	2	9	11	9
Fri Dec 06 22:40:24 2024	1733524824	2	9	11	9
Fri Dec 06 22:40:24 2024	1733524824	2	9	11	9
Fri Dec 06 22:40:24 2024	1733524824	2	9	11	9
Fri Dec 06 22:40:24 2024	1733524824	2	9	11	9
Fri Dec 06 22:40:24 2024	1733524824	2	9	11	9
Fri Dec 06 22:40:24 2024	1733524824	2	9	11	9
Fri Dec 06 22:40:24 2024	1733524824	2	9	11	9
Fri Dec 06 22:40:24 2024	1733524824	2	9	11	9
Fri Dec 06 22:40:24 2024	1733524824	0	11	11	11
Fri Dec 06 22:40:24 2024	1733524824	0	10	11	10
Fri Dec 06 22:40:24 2024	1733524824	0	10	11	10
